Frequency_Hz,SPL_dB,BPF_Ratio
9193.334,-105.12161,39.400005
9205.0,-95.20771,39.45
9216.667,-90.18706,39.500004
9228.334,-84.55533,39.550003
9240.0,-80.956,39.600002
9251.667,-83.62715,39.65
9263.334,-80.13872,39.700005
9275.0,-79.207016,39.75
9286.667,-93.31516,39.800003
9298.334,-85.92564,39.850002
9310.0,-87.39656,39.9
9321.667,-84.3126,39.95
9333.334,-50.882126,40.000004
9345.0,-89.18819,40.05
9356.667,-86.26931,40.100002
9368.334,-98.0271,40.150005
9380.0,-85.50121,40.2
9391.667,-96.30899,40.250004
9403.334,-83.62743,40.300003
9415.0,-73.25517,40.350002
9426.667,-71.089584,40.4
9438.334,-83.696686,40.450005
9450.0,-80.61886,40.5
9461.667,-80.07178,40.550003
9473.334,-82.53384,40.600002
9485.0,-96.36979,40.65
9496.667,-83.66039,40.7
9508.334,-96.39201,40.750004
9520.0,-86.31607,40.8
9531.667,-85.61904,40.850002
9543.334,-82.945564,40.900005
9555.0,-84.91658,40.95
9566.667,-51.578453,41.000004
9578.334,-74.46412,41.050003
9590.0,-78.676674,41.100002
9601.667,-77.62857,41.15
9613.334,-84.29096,41.200005
9625.0,-79.735916,41.25
9636.667,-89.81475,41.300003
9648.334,-82.785904,41.350002
9660.0,-90.369385,41.4
9671.667,-81.774864,41.45
9683.334,-87.56958,41.500004
9695.0,-80.05858,41.55
9706.667,-79.57097,41.600002
9718.334,-83.65493,41.650005
9730.0,-95.01634,41.7
9741.667,-80.056656,41.750004
9753.334,-87.61716,41.800003
9765.0,-77.76941,41.850002
9776.667,-89.18976,41.9
9788.334,-97.61135,41.950005
9800.0,-52.221718,42.0
9811.667,-91.66732,42.050003
9823.334,-88.22215,42.100002
9835.0,-86.47587,42.15
9846.667,-92.87147,42.2
9858.334,-85.33641,42.250004
9870.0,-86.35521,42.3
9881.667,-95.67247,42.350002
9893.334,-82.464485,42.400005
9905.0,-84.56931,42.45
9916.667,-79.46105,42.500004
9928.334,-87.07431,42.550003
9940.0,-83.50314,42.600002
9951.667,-80.26913,42.65
9963.334,-86.74755,42.700005
9975.0,-84.70971,42.75
9986.667,-86.60796,42.800003
9998.334,-87.284706,42.850002
10010.0,-94.12101,42.9
10021.667,-83.38502,42.95
10033.334,-53.14015,43.000004
10045.0,-94.1647,43.05
10056.667,-92.04635,43.100002
10068.334,-83.15583,43.150005
